ticker,lei,eba_name,group,dep_share_2019,overnight_share_2019,dep_share
DBK.DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,bank,0.3400740265251322,0.24380736137024614,0.3610151312402506
CBK.DE,851WYGNLUQLFZBSYGB56,COMMERZBANK Aktiengesellschaft,bank,0.5193371736034903,0.44638519383573194,0.5634209758029434
BNP.PA,R0MUWSFPU8MPRO8K5P83,BNP Paribas,bank,0.35353256292055635,0.22593700456838944,0.3278487138152041
GLE.PA,O2RNE8IBXP4R0TD8PU41,Societe generale S.A.,bank,0.28494817640435205,0.21149206543871896,0.3201612393603867
ACA.PA,FR969500TJ5KRTCJQWXH,Groupe Credit Agricole (consolidated group; listed entity is Credit Agricole SA),bank,0.5219799881179549,0.32967356078081017,0.5297060146535546
SAN.MC,5493006QMFDDMYWIAM13,Banco Santander S.A.,bank,0.48398547211035287,0.38160443999031435,0.4926964426939734
BBVA.MC,K8MS7FD7N5Z2WQ51AZ71,Banco Bilbao Vizcaya Argentaria S.A.,bank,0.5449279262389074,0.4019932012157235,0.5128303040309324
CABK.MC,7CUNS533WID6K7DGFI87,CaixaBank S.A.,bank,0.6678695567346208,0.5826940881487969,0.6831498162652675
SAB.MC,SI5RG2M0WQQLZCXKRM20,Banco de Sabadell S.A.,bank,0.6242363750931219,0.5324165687310145,0.6316148314576353
BKT.MC,VWMYAEQSTOPNV0SUGU82,Bankinter S.A.,bank,0.6397250349066272,0.5542492904132355,0.652247000302439
UNI.MC,5493007SJLLCTM6J6M37,Unicaja Banco S.A.,bank,0.6557935419064643,0.5441499983240428,0.6149553933422927
ISP.MI,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,bank,0.4854112657684554,0.4454825120285625,0.5344402404709397
UCG.MI,549300TRUWO2CD2G5692,UNICREDIT SOCIETA PER AZIONI,bank,0.4397934606125418,0.36936507696185933,0.49466854170974
BAMI.MI,815600E4E6DCD2D25E30,BANCO BPM SOCIETA PER AZIONI,bank,0.5157453567921997,0.4970613123844419,0.5127976533068568
BPE.MI,N747OI7JINV7RUUH6190,BPER Banca S.p.A.,bank,0.606030618824731,0.5662746175016937,0.6562563571726776
MB.MI,PSNL19R2RXX5U3QWHI44,Mediobanca Banca di Credito Finanziario S.p.A.,bank,0.28066278420655116,0.19889238638867296,0.3154441476369153
INGA.AS,549300NYKK9MWM7GGW15,ING Groep N.V.,bank,0.6191620791013082,0.532612810685539,0.6034970538313539
ABN.AS,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,bank,0.583819452718496,0.5364614776581937,0.5734466079232229
KBC.BR,213800X3Q9LSAKRUWY91,KBC Groep,bank,0.6431589135153719,0.32485899791156786,0.6622029902686732
EBS.VI,PQOH26KWDF7CG10L6792,Erste Group Bank AG,bank,0.6828842925865807,0.4912696280768635,0.634874270875042
RBI.VI,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,bank,0.588939105535481,0.40788670123978427,0.568706475780958
BG.VI,529900S9YO2JHTIIDG38,BAWAG Group AG,bank,0.6209016580350633,0.5345909295873689,0.558130904925697
BIRG.IR,635400C8EK6DRI12LJ39,Bank of Ireland Group plc,bank,0.7247800011090645,0.5948319330924295,0.7574312566241256
A5G.IR,635400AKJBGNS5WNQL34,AIB Group plc,bank,0.798538949512879,0.6407919536973907,0.8330314335354225
ETE.AT,5UMCZOEYKCVFAW8ZLO05,National Bank of Greece S.A.,bank,0.704651586462878,0.49507367978636435,0.7637195238812478
EUROB.AT,JEUVK5RWVJEN8W0C9M24,Eurobank Ergasias Services and Holdings S.A.,bank,0.654310449699428,0.3912850027286167,0.648927844395598
ALPHA.AT,5299009N55YRQC69CN08,ALPHA SERVICES AND HOLDINGS S.A.,bank,0.67581901592361,0.4094504156254863,0.7069130973608565
TPEIR.AT,M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,bank,0.764533914203974,0.49415301897836184,0.782227225424832
BCP.LS,JU1U6S0DG9YLT7N8ZV32,Banco Comercial Portugues SA,bank,0.7836275113805142,0.48408073518750794,0.8679952562798324
DANSKE.CO,MAES062Z21O4RZ2U7M96,Danske Bank A/S,control_bank,0.25054006094062614,0.22443091931703824,0.2980542181159605
SWED-A.ST,M312WZV08Y7LYUC71685,Swedbank - Grupp,control_bank,0.4007203367843183,0.37916027748626696,0.426930973106436
SHB-A.ST,NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - gruppen,control_bank,0.37276180193915504,0.3555426835655207,0.3785303511334127
DNB.OL,549300GKFG0RYRRQ1414,DNB BANK ASA,control_bank,0.3828354234283229,0.31448007324040556,0.452341789204108
