ticker,lei,eba_name,group,total_liab,dep_hh_nfc,overnight_hh_nfc,dep_share,overnight_share
DBK.DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,bank,1235892.75082602,446175.98363833,312017.82473904395,0.36101513124025064,0.25246351233187836
CBK.DE,851WYGNLUQLFZBSYGB56,COMMERZBANK Aktiengesellschaft,bank,478971.31984723,269862.48840995,217552.22259373002,0.5634209758029434,0.4542072010973836
BNP.PA,R0MUWSFPU8MPRO8K5P83,BNP Paribas,bank,2314489.086868,758802.270269,411586.100239,0.3278487138152041,0.17783021858874443
GLE.PA,O2RNE8IBXP4R0TD8PU41,Societe generale S.A.,bank,1332337.74051219,426562.90224900004,298229.375491,0.3201612393603867,0.22383917112214494
ACA.PA,FR969500TJ5KRTCJQWXH,Groupe Credit Agricole (consolidated group; listed entity is Credit Agricole SA),bank,1871099.87995997,991132.8604323401,657288.86782402,0.5297060146535546,0.3512847576250616
SAN.MC,5493006QMFDDMYWIAM13,Banco Santander S.A.,bank,1635277.92,805695.614,609571.164,0.4926964426939734,0.37276303712337777
BBVA.MC,K8MS7FD7N5Z2WQ51AZ71,Banco Bilbao Vizcaya Argentaria S.A.,bank,663588.367,340308.224,275700.599,0.5128303040309324,0.41546930704407603
CABK.MC,7CUNS533WID6K7DGFI87,CaixaBank S.A.,bank,516390.933,352772.37100000004,324352.814,0.6831498162652675,0.6281148511180386
SAB.MC,SI5RG2M0WQQLZCXKRM20,Banco de Sabadell S.A.,bank,235307.337,148623.604,135790.28100000002,0.6316148314576353,0.5770762728065721
BKT.MC,VWMYAEQSTOPNV0SUGU82,Bankinter S.A.,bank,100966.563157,65855.13795,56004.017521999995,0.652247000302439,0.5546788537796955
UNI.MC,5493007SJLLCTM6J6M37,Unicaja Banco S.A.,bank,98289.812,60443.85,54191.669,0.6149553933422927,0.5513457386610934
ISP.MI,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,bank,717873.102392,383660.27347,355470.720205,0.5344402404709397,0.4951720840640893
UCG.MI,549300TRUWO2CD2G5692,UNICREDIT SOCIETA PER AZIONI,bank,831835.824,411483.01399999997,342920.89300000004,0.49466854170974,0.41224588206722873
BAMI.MI,815600E4E6DCD2D25E30,BANCO BPM SOCIETA PER AZIONI,bank,179383.317,91987.344,89607.982,0.5127976533068568,0.49953353242988585
BPE.MI,N747OI7JINV7RUUH6190,BPER Banca S.p.A.,bank,142692.09891,93642.597028,89943.347119,0.6562563571726776,0.6303316568055379
MB.MI,PSNL19R2RXX5U3QWHI44,Mediobanca Banca di Credito Finanziario S.p.A.,bank,81858.811436,25821.883,15262.454,0.31544414763691536,0.18644851705344762
INGA.AS,549300NYKK9MWM7GGW15,ING Groep N.V.,bank,969914.266,585340.402,500967.307,0.6034970538313539,0.5165067929828758
ABN.AS,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,bank,381420.73795,218724.42836899997,190014.761916,0.5734466079232229,0.4981762736270224
KBC.BR,213800X3Q9LSAKRUWY91,KBC Groep,bank,295857.814557,195917.929494,98400.34368600001,0.6622029902686732,0.3325933568235771
EBS.VI,PQOH26KWDF7CG10L6792,Erste Group Bank AG,bank,316443.97429223,200902.13745158003,152069.57543343,0.634874270875042,0.48055765881955664
RBI.VI,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,bank,191273.27098965,108778.34785562,79073.39655231,0.568706475780958,0.41340536575331926
BG.VI,529900S9YO2JHTIIDG38,BAWAG Group AG,bank,50697.94052169,28296.087421239998,25527.64973534,0.558130904925697,0.5035243931539696
BIRG.IR,635400C8EK6DRI12LJ39,Bank of Ireland Group plc,bank,121362.32386183,91923.61746949,85724.21927683,0.7574312566241256,0.7063495205845458
A5G.IR,635400AKJBGNS5WNQL34,AIB Group plc,bank,116206.52146071,96803.6851585801,91392.3590943424,0.8330314335354225,0.7864649758511411
ETE.AT,5UMCZOEYKCVFAW8ZLO05,National Bank of Greece S.A.,bank,68483.335,52302.06,42606.418,0.7637195238812478,0.6221428614713345
EUROB.AT,JEUVK5RWVJEN8W0C9M24,Eurobank Ergasias Services and Holdings S.A.,bank,74891.35175,48599.083455,34094.988098,0.648927844395598,0.45525934972858867
ALPHA.AT,5299009N55YRQC69CN08,ALPHA SERVICES AND HOLDINGS S.A.,bank,66171.388702,46777.421344,35587.438784,0.7069130973608565,0.5378070414128151
TPEIR.AT,M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,bank,67914.671606,53124.705136000004,42233.434825000004,0.782227225424832,0.6218602523768788
BCP.LS,JU1U6S0DG9YLT7N8ZV32,Banco Comercial Portugues SA,bank,82878.30552152,71937.97604119,45892.97997256,0.8679952562798324,0.5537393613898577
DANSKE.CO,MAES062Z21O4RZ2U7M96,Danske Bank A/S,control_bank,422276.64427783,125861.33503886021,111311.4065596147,0.2980542181159605,0.26359830236402837
SWED-A.ST,M312WZV08Y7LYUC71685,Swedbank - Grupp,control_bank,226134.790567794,96543.9461903284,88046.45698328971,0.426930973106436,0.38935387501506036
SHB-A.ST,NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - gruppen,control_bank,282290.704568033,106855.599521836,83999.03005269711,0.3785303511334127,0.29756215381315565
DNB.OL,549300GKFG0RYRRQ1414,DNB BANK ASA,control_bank,258467.521322099,116915.6610459892,93574.4582898894,0.452341789204108,0.362035654658823
