event_id,date,meetings_30d,bank_side,payments,retail_civil
E01,2023-06-28,0,0,0,0
E02,2023-10-19,15,6,4,2
E03,2023-10-31,15,3,5,3
E04,2024-02-09,8,1,4,0
E05,2024-02-20,7,3,1,0
E06,2024-02-21,7,3,1,0
E07,2024-11-13,1,1,0,0
E08,2024-12-16,3,2,1,0
E09,2025-07-03,9,2,1,1
E10,2025-07-15,11,4,1,1
E11,2025-10-30,19,5,4,5
E12,2025-11-03,14,3,3,4
E13,2025-12-19,20,6,1,3
E14,2026-06-23,9,4,1,1
E15,2026-06-26,9,4,1,1
E16,2026-07-06,7,3,1,0
E17,2026-07-09,7,3,1,0
E18,2025-07-08,12,4,1,1
E19,2025-09-19,22,14,2,1
E20,2026-03-05,19,13,0,3
E21,2026-07-13,3,1,1,0
