ticker,lei,eba_name,group
DBK.DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,bank
CBK.DE,851WYGNLUQLFZBSYGB56,COMMERZBANK Aktiengesellschaft,bank
BNP.PA,R0MUWSFPU8MPRO8K5P83,BNP Paribas,bank
GLE.PA,O2RNE8IBXP4R0TD8PU41,Societe generale S.A.,bank
ACA.PA,FR969500TJ5KRTCJQWXH,Groupe Credit Agricole (consolidated group; listed entity is Credit Agricole SA),bank
SAN.MC,5493006QMFDDMYWIAM13,Banco Santander S.A.,bank
BBVA.MC,K8MS7FD7N5Z2WQ51AZ71,Banco Bilbao Vizcaya Argentaria S.A.,bank
CABK.MC,7CUNS533WID6K7DGFI87,CaixaBank S.A.,bank
SAB.MC,SI5RG2M0WQQLZCXKRM20,Banco de Sabadell S.A.,bank
BKT.MC,VWMYAEQSTOPNV0SUGU82,Bankinter S.A.,bank
UNI.MC,5493007SJLLCTM6J6M37,Unicaja Banco S.A.,bank
ISP.MI,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,bank
UCG.MI,549300TRUWO2CD2G5692,UNICREDIT SOCIETA PER AZIONI,bank
BAMI.MI,815600E4E6DCD2D25E30,BANCO BPM SOCIETA PER AZIONI,bank
BPE.MI,N747OI7JINV7RUUH6190,BPER Banca S.p.A.,bank
MB.MI,PSNL19R2RXX5U3QWHI44,Mediobanca Banca di Credito Finanziario S.p.A.,bank
INGA.AS,549300NYKK9MWM7GGW15,ING Groep N.V.,bank
ABN.AS,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,bank
KBC.BR,213800X3Q9LSAKRUWY91,KBC Groep,bank
EBS.VI,PQOH26KWDF7CG10L6792,Erste Group Bank AG,bank
RBI.VI,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,bank
BG.VI,529900S9YO2JHTIIDG38,BAWAG Group AG,bank
BIRG.IR,635400C8EK6DRI12LJ39,Bank of Ireland Group plc,bank
A5G.IR,635400AKJBGNS5WNQL34,AIB Group plc,bank
ETE.AT,5UMCZOEYKCVFAW8ZLO05,National Bank of Greece S.A.,bank
EUROB.AT,JEUVK5RWVJEN8W0C9M24,Eurobank Ergasias Services and Holdings S.A.,bank
ALPHA.AT,5299009N55YRQC69CN08,ALPHA SERVICES AND HOLDINGS S.A.,bank
TPEIR.AT,M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,bank
BCP.LS,JU1U6S0DG9YLT7N8ZV32,Banco Comercial Portugues SA,bank
DANSKE.CO,MAES062Z21O4RZ2U7M96,Danske Bank A/S,control_bank
SWED-A.ST,M312WZV08Y7LYUC71685,Swedbank - Grupp,control_bank
SHB-A.ST,NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - gruppen,control_bank
DNB.OL,549300GKFG0RYRRQ1414,DNB BANK ASA,control_bank
