date,mep,role,interest_representative,category,source
2026-07-13,NAVARRETE ROJAS Fernando,rapporteur,Irish Permanent Representation,presidency,OEIL transparency
2026-06-29,BOYER Gilles,shadow,Fédération bancaire française,bank_association,OEIL transparency
2026-06-16,NAVARRETE ROJAS Fernando,rapporteur,Apple Inc.,bigtech_payments,OEIL transparency
2026-06-16,BOESELAGER Damian,shadow,EPI,payments_scheme,OEIL transparency
2026-06-10,BARTULICA Stephen Nikola,shadow,Banco Santander S.A.,bank,OEIL transparency
2026-06-10,NAVARRETE ROJAS Fernando,rapporteur,Irish Ambassador,presidency,OEIL transparency
2026-06-10,NAVARRETE ROJAS Fernando,rapporteur,Consejo Europeo,council,OEIL transparency
2026-06-10,BOESELAGER Damian,shadow,Banco Santander S.A.,bank,OEIL transparency
2026-06-01,NAVARRETE ROJAS Fernando,rapporteur,Inditex,retail,OEIL transparency
2026-06-01,NAVARRETE ROJAS Fernando,rapporteur,CECA,bank_association,OEIL transparency
2026-06-17,FERNÁNDEZ Jonás,other,International SecurityLigue,other,OEIL transparency
2026-06-15,DE MASI Fabio,other,Ons Geld,civil_society,OEIL transparency
2026-06-02,BORRÁS PABÓN Mireia,other,Bizum,payments_scheme,OEIL transparency
2026-05-27,LALUCQ Aurore,other,EuroCommerce,retail,OEIL transparency
2026-05-04,LALUCQ Aurore,other,European Payment Institutions Federation,payments_association,OEIL transparency
2026-04-29,WINZIG Angelika,other,European Payment Institutions Federation,payments_association,OEIL transparency
2026-04-15,FERBER Markus,other,Fédération bancaire française,bank_association,OEIL transparency
2026-04-13,BORRÁS PABÓN Mireia,other,Banco Santander S.A.,bank,OEIL transparency
2026-04-13,DE MASI Fabio,other,Banco Santander S.A.,bank,OEIL transparency
2026-04-13,LALUCQ Aurore,other,Banco Santander S.A.,bank,OEIL transparency
