ticker,rows
DBK.DE,1203
CBK.DE,1203
BNP.PA,1207
GLE.PA,1207
ACA.PA,1207
SAN.MC,1207
BBVA.MC,1207
CABK.MC,1207
SAB.MC,1207
BKT.MC,1207
UNI.MC,1207
ISP.MI,1199
UCG.MI,1199
BAMI.MI,1199
BPE.MI,1199
MB.MI,1199
INGA.AS,1207
ABN.AS,1207
KBC.BR,1207
EBS.VI,1200
RBI.VI,1200
BG.VI,1200
BIRG.IR,1200
A5G.IR,1200
ETE.AT,1170
EUROB.AT,1153
ALPHA.AT,304
TPEIR.AT,1169
BCP.LS,1207
BOCH.CY,0
MA,1183
V,1183
AXP,1183
PYPL,1183
NEXI.MI,1199
WLN.PA,1207
ADYEN.AS,1207
WISE.L,1189
FI,0
GPN,1183
AAPL,1183
GOOGL,1183
AMZN,1183
META,1183
SWED-A.ST,1185
SHB-A.ST,1185
DANSKE.CO,1180
DNB.OL,1185
LLOY.L,1190
NWG.L,1190
UBSG.SW,1185
^STOXX,1185
^SX7P,0
^GSPC,1183
