ticker,rows
DBK.DE,660
CBK.DE,660
BNP.PA,671
GLE.PA,671
ACA.PA,671
SAN.MC,669
BBVA.MC,669
CABK.MC,669
SAB.MC,669
BKT.MC,669
UNI.MC,669
ISP.MI,663
UCG.MI,663
BAMI.MI,663
BPE.MI,663
MB.MI,663
INGA.AS,670
ABN.AS,670
KBC.BR,670
EBS.VI,658
RBI.VI,658
BG.VI,658
BIRG.IR,664
A5G.IR,664
ETE.AT,648
EUROB.AT,648
ALPHA.AT,0
TPEIR.AT,648
BCP.LS,670
BOCH.CY,0
MA,658
V,658
AXP,658
PYPL,658
NEXI.MI,663
WLN.PA,671
ADYEN.AS,670
WISE.L,129
FI,0
GPN,658
AAPL,658
GOOGL,658
AMZN,658
META,658
SWED-A.ST,652
SHB-A.ST,652
DANSKE.CO,652
DNB.OL,656
LLOY.L,660
NWG.L,660
UBSG.SW,657
^STOXX,657
^SX7P,0
^GSPC,658
