event_id,date,documented_content,procedural_0_1,banks_-1_0_1,payment_providers_-1_0_1,device_gatekeepers_-1_0_1,surprise_none_low_medium_high,note
E01,2023-06-28,"European Commission publishes the legislative proposal establishing the digital euro (COM(2023)0369): legal tender status, online and offline use, distribution by payment service providers, ECB may set holding limits (level not specified), no remuneration.",,,,,,
E02,2023-10-19,Announcement in Parliament that the proposal is referred to the ECON committee and associated committees.,,,,,,
E03,2023-10-31,"ECB publishes its formal legal opinion on the proposal (CON/2023/0034), supporting the project and arguing for ECB discretion over holding limits.",,,,,,
E04,2024-02-09,ECON rapporteur (Berger) tables a first draft report on the proposal. The text of the draft could not be retrieved; code only what you can infer from the fact of tabling on that day.,,,,,,
E05,2024-02-20,"LIBE committee adopts its opinion, concerning privacy and data protection only.",,,,,,
E06,2024-02-21,Two sets of amendments to the ECON draft report are tabled. Their content could not be retrieved.,,,,,,
E07,2024-11-13,Formal resumption of the file after the European elections (procedural decision to continue business from the previous term).,,,,,,
E08,2024-12-16,"Change of ECON rapporteur: Berger steps down, Navarrete Rojas (same political group) is appointed. The new rapporteur has no publicly documented position on the file at this date.",,,,,,
E09,2025-07-03,A new LIBE rapporteur for the opinion is appointed.,,,,,,
E10,2025-07-15,"LIBE committee adopts a new opinion, concerning privacy and data protection only.",,,,,,
E26,2025-09-02,"The ECON rapporteur publishes a 27-page chapter in a yearbook, presented as a personal contribution, arguing that the digital euro is not needed and pointing to private European payment solutions (naming the European Payments Initiative) as the alternative.",,,,,,
E19,2025-09-19,Eurogroup ministers endorse a framework for how the ceiling on individual holding limits will be set and amended; no numeric limit is agreed.,,,,,,
E23,2025-10-23,European Council leaders call for accelerated progress on the digital euro; no design content.,,,,,,
E11,2025-10-30,"ECB closes the preparation phase and announces the move to the next phase of the project, including preparation for possible issuance.",,,,,,
E12,2025-11-03,"New ECON draft report: an offline digital euro is introduced immediately; an online digital euro is introduced only if the Commission, after an investigation, concludes that no suitable private pan-European payment solution exists; holding limits made more prescriptive, set by the Commission based on an ECB report.",,,,,,
E22,2025-12-19,"Council agrees its negotiating position: ECB sets holding limits within an overall ceiling agreed by the Council, reviewed at least every two years; providers may not charge consumers for basic services; guaranteed access for providers to mobile device hardware and software; interchange and merchant fees capped for at least five years at levels of comparable payment means, then cost-based. On the same day four sets of amendments to the ECON draft report are tabled.",,,,,,
E20,2026-03-05,ECB publishes a call for payment service providers to express interest in a 12-month pilot planned for the second half of 2027.,,,,,,
E14,2026-06-23,ECON committee adopts its position: overall cap on holdings set by the Commission on the ECB's recommendation and reviewed every two years; legal persons may not hold digital euro except incoming payments for up to 24 hours; rollout phase of at least 24 months; merchant and inter-provider fees capped; offline payments free of charge.,,,,,,
E15,2026-06-26,The committee report is formally tabled for plenary; content identical to the committee position of 23 June.,,,,,,
E16,2026-07-06,Announcement in plenary of the committee's decision to open negotiations (procedural).,,,,,,
E17,2026-07-09,Plenary confirms the negotiating mandate on the basis of the committee text.,,,,,,
E24,2026-07-14,ECB announces the selection of 36 payment service providers (banks and non-banks) from more than 50 applicants for the pilot.,,,,,,
