event_date,firm,car,group,grp,direction,z
2020-10-02,DBK.DE,0.015294145297380001,bank,bank,-1.0,-1.5981878524090556
2020-10-02,CBK.DE,0.010739839319095926,bank,bank,-1.0,-0.1969766074951668
2020-10-02,BNP.PA,-0.004035944915000963,bank,bank,-1.0,-1.8277916820311226
2020-10-02,GLE.PA,0.0004347241142714838,bank,bank,-1.0,-1.8810103807023557
2020-10-02,ACA.PA,-0.010372212987281741,bank,bank,-1.0,-0.430377884945561
2020-10-02,SAN.MC,0.0015118648660193898,bank,bank,-1.0,-0.6865870300483472
2020-10-02,BBVA.MC,0.0022048102767609533,bank,bank,-1.0,-0.5472047262920654
2020-10-02,CABK.MC,-0.00817803926210732,bank,bank,-1.0,0.6318798811046288
2020-10-02,SAB.MC,0.017962452148816452,bank,bank,-1.0,0.2751144903870993
2020-10-02,BKT.MC,0.0015437918085662635,bank,bank,-1.0,0.4179464676689923
2020-10-02,UNI.MC,0.022466458367731205,bank,bank,-1.0,0.15978485614852456
2020-10-02,ISP.MI,0.004473332308795286,bank,bank,-1.0,-0.3976038785149957
2020-10-02,UCG.MI,-0.001516224117372898,bank,bank,-1.0,-0.6729346213298831
2020-10-02,BAMI.MI,0.05338347888154822,bank,bank,-1.0,-0.5474307600897961
2020-10-02,BPE.MI,-0.025616774400596808,bank,bank,-1.0,0.4457023654474827
2020-10-02,MB.MI,0.01700594554951155,bank,bank,-1.0,-1.913665771560751
2020-10-02,INGA.AS,0.018062632414272556,bank,bank,-1.0,0.0804612861920478
2020-10-02,ABN.AS,0.028140255855813347,bank,bank,-1.0,-0.12757135640344586
2020-10-02,KBC.BR,0.004469998461015891,bank,bank,-1.0,0.48686960141089525
2020-10-02,EBS.VI,0.004901955554871602,bank,bank,-1.0,0.2976788742054292
2020-10-02,RBI.VI,0.007864001632877093,bank,bank,-1.0,-0.1603862510250389
2020-10-02,BG.VI,0.029405466361326314,bank,bank,-1.0,-0.23359860729761434
2020-10-02,BIRG.IR,-0.017722537488016415,bank,bank,-1.0,1.1461139920025163
2020-10-02,A5G.IR,-0.038867791882696456,bank,bank,-1.0,1.6694774266625145
2020-10-02,ETE.AT,-0.025704326332999874,bank,bank,-1.0,1.1896462862934265
2020-10-02,EUROB.AT,-0.03315551771146091,bank,bank,-1.0,0.3949686796988067
2020-10-02,TPEIR.AT,-0.019023183427162742,bank,bank,-1.0,1.3177710426531568
2020-10-02,BCP.LS,-0.02271798869128853,bank,bank,-1.0,1.9115242988785415
2020-10-02,NEXI.MI,-0.03137047163124463,payments,payments,-1.0,
2020-10-02,WLN.PA,-0.02732339149082419,payments,payments,-1.0,
2020-10-02,ADYEN.AS,-0.0008750765013373369,payments,payments,-1.0,
2020-10-02,SWED-A.ST,0.00017478423367540665,control_bank,control_bank,0.0,-1.1418669440853995
2020-10-02,SHB-A.ST,-0.006206370945758713,control_bank,control_bank,0.0,-1.476933828719851
2020-10-02,DANSKE.CO,0.00033658722441488745,control_bank,control_bank,0.0,-2.034052437497537
2020-10-02,DNB.OL,0.0018923831831051774,control_bank,control_bank,0.0,-0.9659534405231625
2020-10-02,LLOY.L,0.026327892978958437,control_bank,control_bank,0.0,
2020-10-02,NWG.L,0.023360725742248532,control_bank,control_bank,0.0,
2020-10-02,UBSG.SW,0.00986569651087464,control_bank,control_bank,0.0,
2020-10-02,MA,0.0006392123035228632,payments,payments,-1.0,
2020-10-02,V,0.0021335122746529867,payments,payments,-1.0,
2020-10-02,AXP,0.011346587126387378,payments,payments,-1.0,
2020-10-02,PYPL,-0.008199738677667517,payments,payments,-1.0,
2020-10-02,GPN,0.0076673176143805324,payments,payments,-1.0,
2020-10-02,AAPL,-0.0191996576221985,device,gate,0.0,
2020-10-02,GOOGL,-0.009316825410185324,device,gate,0.0,
2020-10-02,AMZN,-0.017752705019381462,bigtech,gate,0.0,
2020-10-02,META,-0.01083949011222626,bigtech,gate,0.0,
2020-10-12,DBK.DE,0.0062671640265895305,bank,bank,0.0,-1.5981878524090556
2020-10-12,CBK.DE,0.017109894765757368,bank,bank,0.0,-0.1969766074951668
2020-10-12,BNP.PA,0.008334138559544013,bank,bank,0.0,-1.8277916820311226
2020-10-12,GLE.PA,0.029129141863820825,bank,bank,0.0,-1.8810103807023557
2020-10-12,ACA.PA,0.009311250516229655,bank,bank,0.0,-0.430377884945561
2020-10-12,SAN.MC,-0.007623499621501524,bank,bank,0.0,-0.6865870300483472
2020-10-12,BBVA.MC,-0.007872766470150476,bank,bank,0.0,-0.5472047262920654
2020-10-12,CABK.MC,-0.014670205484575231,bank,bank,0.0,0.6318798811046288
2020-10-12,SAB.MC,-0.012898470207207923,bank,bank,0.0,0.2751144903870993
2020-10-12,BKT.MC,-0.006465032234389304,bank,bank,0.0,0.4179464676689923
2020-10-12,UNI.MC,-0.03830345071498824,bank,bank,0.0,0.15978485614852456
2020-10-12,ISP.MI,-0.005337512515026602,bank,bank,0.0,-0.3976038785149957
2020-10-12,UCG.MI,-0.008004087678718422,bank,bank,0.0,-0.6729346213298831
2020-10-12,BAMI.MI,-0.007248484566494231,bank,bank,0.0,-0.5474307600897961
2020-10-12,BPE.MI,-0.02282276283135551,bank,bank,0.0,0.4457023654474827
2020-10-12,MB.MI,-0.006269623543988463,bank,bank,0.0,-1.913665771560751
2020-10-12,INGA.AS,-0.005833861354648406,bank,bank,0.0,0.0804612861920478
2020-10-12,ABN.AS,-0.0009552428319414335,bank,bank,0.0,-0.12757135640344586
2020-10-12,KBC.BR,-0.019714965185648334,bank,bank,0.0,0.48686960141089525
2020-10-12,EBS.VI,-0.013028179061475282,bank,bank,0.0,0.2976788742054292
2020-10-12,RBI.VI,-0.01126817306794247,bank,bank,0.0,-0.1603862510250389
2020-10-12,BG.VI,-0.010632594708456301,bank,bank,0.0,-0.23359860729761434
2020-10-12,BIRG.IR,0.022949179607615413,bank,bank,0.0,1.1461139920025163
2020-10-12,A5G.IR,0.008787178191330127,bank,bank,0.0,1.6694774266625145
2020-10-12,ETE.AT,-0.06764538197370934,bank,bank,0.0,1.1896462862934265
2020-10-12,EUROB.AT,-0.06401642506771775,bank,bank,0.0,0.3949686796988067
2020-10-12,TPEIR.AT,-0.032136466843619135,bank,bank,0.0,1.3177710426531568
2020-10-12,BCP.LS,-0.011512603518899184,bank,bank,0.0,1.9115242988785415
2020-10-12,NEXI.MI,0.005300973421752751,payments,payments,0.0,
2020-10-12,WLN.PA,0.0031165677730129555,payments,payments,0.0,
2020-10-12,ADYEN.AS,0.0006314546795266329,payments,payments,0.0,
2020-10-12,SWED-A.ST,0.0016364704692875733,control_bank,control_bank,0.0,-1.1418669440853995
2020-10-12,SHB-A.ST,0.018988139236410736,control_bank,control_bank,0.0,-1.476933828719851
2020-10-12,DANSKE.CO,0.016262639628175934,control_bank,control_bank,0.0,-2.034052437497537
2020-10-12,DNB.OL,-0.006341233515849117,control_bank,control_bank,0.0,-0.9659534405231625
2020-10-12,LLOY.L,-2.401826707658372e-05,control_bank,control_bank,0.0,
2020-10-12,NWG.L,-7.508090080275785e-05,control_bank,control_bank,0.0,
2020-10-12,UBSG.SW,0.004265754074589015,control_bank,control_bank,0.0,
2020-10-12,MA,-0.022105512862346556,payments,payments,0.0,
2020-10-12,V,-0.01837988210947848,payments,payments,0.0,
2020-10-12,AXP,-0.014820717178387295,payments,payments,0.0,
2020-10-12,PYPL,-3.908307384967516e-05,payments,payments,0.0,
2020-10-12,GPN,-0.02004661666333811,payments,payments,0.0,
