event_date,bank,control_bank,gate,payments,dir_bank,dir_control_bank,dir_gate,dir_payments
2023-06-28,0.58,0.67,0.41,1.16,-1.0,0.0,0.0,-1.0
2023-10-19,0.57,-1.82,0.71,-0.16,0.0,0.0,0.0,0.0
2023-10-31,0.16,0.42,-0.86,1.06,-1.0,0.0,0.0,0.0
2024-02-09,0.14,-0.08,0.47,1.17,0.0,0.0,0.0,0.0
2024-02-20,-0.43,0.22,,-0.51,0.0,0.0,,0.0
2024-02-21,0.16,-0.77,0.25,-0.02,0.0,0.0,0.0,0.0
2024-11-13,0.26,0.59,0.1,0.31,0.0,0.0,0.0,0.0
2024-12-16,0.56,0.22,1.47,1.09,0.0,0.0,0.0,0.0
2025-07-03,1.27,1.66,-0.21,-0.45,0.0,0.0,0.0,0.0
2025-07-15,0.54,0.37,0.33,0.39,0.0,0.0,0.0,0.0
2025-09-02,0.97,0.19,,2.3,1.0,0.0,,1.0
2025-09-19,1.09,0.89,0.41,-0.56,0.0,0.0,0.0,0.0
2025-10-23,-1.1,-0.7,-0.11,-0.91,-1.0,0.0,0.0,-1.0
2025-10-30,0.18,0.68,-1.79,0.39,-1.0,0.0,0.0,-1.0
2025-11-03,0.36,0.08,0.45,-1.5,1.0,0.0,0.0,1.0
2025-12-19,0.38,0.71,-0.74,-1.01,0.0,0.0,-1.0,-1.0
2026-03-05,0.51,0.29,0.29,-1.67,-1.0,0.0,0.0,0.0
2026-06-23,0.07,-0.03,1.41,0.64,1.0,0.0,0.0,-1.0
2026-06-26,0.2,0.31,1.32,2.91,0.0,0.0,0.0,0.0
2026-07-06,0.98,0.78,,-0.87,0.0,0.0,,0.0
2026-07-09,0.65,0.8,0.49,0.04,1.0,0.0,0.0,-1.0
2026-07-14,-0.68,0.28,0.01,-0.7,-1.0,0.0,0.0,0.0
